Open,Close,High,Low,Stochastic_Oscillator,Wiki_5day_Disparity,Wiki_3day_Disparity,Google_MA_6,RSI_Move,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_RSI_Move,Wiki_5day_Disparity_Move,Google_EMA5_Move,Google_Move,Google_3day_Disparity_Move,Google_RSI_Move,Google_ROC_Move,Target
92.4452992,91.004951,92.62047716,90.69352352,42.38843289,1.050198891,1.035540006,4570,0,1,1,1,1,1,1,0,0,1,1,0
90.46968492,91.54995,92.38691138,89.97334541,49.7375415,1.067353495,1.032137118,4601.666667,1,1,1,1,1,1,0,0,0,0,0,1
90.82002929,92.610741,92.81511429,90.43074303,64.04191319,0.953638014,0.939752507,4593.333333,1,0,0,0,0,0,1,1,1,1,1,1
92.6204826,93.642357,94.11922841,92.55235783,77.95287087,0.992460252,0.994888179,4620,1,1,0,0,1,1,0,0,0,0,0,1
93.28226044,93.243332,93.58396165,92.51342384,72.57216731,1.102009437,1.107745603,4581.666667,0,1,1,1,1,1,0,1,1,1,0,1
93.4379769,94.343063,94.37225835,92.50369544,87.4016304,1.032346146,1.006312916,4551.666667,1,0,1,1,0,0,1,1,1,1,1,1
94.84914418,95.287094,95.32601563,94.45013156,99.47857885,1.159680437,1.085594825,4515,1,1,1,1,1,1,1,0,0,0,1,1
95.18002192,95.082695,95.24814668,94.44037975,96.74030791,0.974279226,0.949863629,4611.666667,0,0,0,0,0,0,1,1,0,1,0,1
95.29679984,95.403854,96.04617605,94.70314125,92.15215023,0.946202995,0.937651039,4666.666667,1,0,0,0,0,0,1,0,0,1,1,0
94.63501619,94.712875,95.22867478,93.75912452,78.0448175,1.008887587,1.036541517,5868.333333,0,1,0,1,1,1,1,1,1,1,1,1
95.16251216,94.957253,95.20161031,94.43921648,82.06893763,0.945601568,0.975233763,6058.333333,1,0,0,0,0,0,0,0,0,0,0,0
94.57605089,94.00914,95.33844468,93.66704174,66.45656415,1.110264103,1.083080122,6168.333333,0,1,1,1,1,1,0,1,0,1,1,0
93.84297477,94.185074,94.74220764,93.84297477,69.3536316,0.972372431,0.962530414,6243.333333,1,0,0,0,0,0,0,0,1,0,0,1
94.81063144,95.397087,95.79783688,94.61514854,89.3115898,1.017900339,0.995662118,6316.666667,1,1,1,1,1,1,0,1,1,1,1,1
95.47528426,95.299347,95.95422261,95.00611531,87.70212618,1.041267714,1.042832028,6450,0,1,0,1,1,1,1,1,1,1,0,0
94.52717521,96.433167,96.50158607,94.1459788,98.87298906,0.921588351,0.930517492,5513.333333,1,0,0,0,0,0,1,0,0,0,1,1
96.50158916,96.091064,96.70684831,94.62492018,85.34946663,0.884187755,0.900281738,5573.333333,0,0,0,0,0,0,1,0,0,0,0,0
96.08128721,96.139931,96.74593902,95.65121643,85.7149169,0.907618754,0.972370112,5623.333333,1,1,0,0,0,1,1,0,0,0,1,0
95.63166717,95.797836,96.6481945,95.03544222,77.65090564,1.024825284,1.074161808,5646.666667,0,1,1,1,1,1,0,0,0,0,0,1
96.09105236,96.716606,97.00983766,95.70008658,91.22795207,1.034879367,1.024448367,5751.666667,1,0,1,1,0,1,1,1,1,1,1,1
97.048941,96.609093,97.73313847,96.38428918,72.35566326,1.034777499,0.995630943,5745,0,1,1,1,0,0,0,0,0,0,0,0
97.03915616,98.515076,98.58349603,96.93163799,98.60834597,0.96432553,0.95806962,5688.333333,1,0,0,0,0,0,0,0,0,0,0,1
98.97447198,99.375214,99.56092846,98.57372214,96.84903242,1.233759843,1.201341746,5376.666667,1,1,1,1,1,1,0,0,0,0,0,1
99.6977785,99.883492,100.0203321,99.2383858,97.84615403,1.142621793,1.078729077,5130,1,0,1,1,0,0,0,1,1,1,1,1
100.1669346,100.176704,100.2842212,99.60002476,98.37518086,1.034687357,0.944386586,5071.666667,1,0,1,1,0,0,1,1,1,1,1,1
100.3331126,98.603058,100.3722098,98.11434338,72.90414894,0.908534096,0.897043452,4998.333333,0,0,0,0,0,0,1,1,0,1,1,0
98.80830828,99.336121,99.64889833,98.27072714,83.35929395,0.865786282,0.933112797,4973.333333,1,0,0,0,0,0,1,0,0,0,1,0
98.73011986,98.769218,99.2970229,98.39779004,74.25421898,0.921065078,0.994045087,4893.333333,0,1,0,0,1,1,0,0,0,0,1,1
98.81807789,99.023338,99.16017709,98.47597967,78.33566087,1.030751986,1.059265442,5155,1,1,1,1,1,1,1,1,1,1,1,1
99.42408925,98.573723,99.70754467,98.29026856,68.70721824,0.919904028,0.921817717,5305,0,0,0,0,0,0,0,0,0,0,0,0
99.35567962,99.130867,99.72709979,98.72034869,76.73980029,0.949893446,0.954391157,5375,1,1,0,0,1,1,1,1,1,1,0,0
99.21882903,97.869972,99.23837468,97.81132919,53.1132327,0.869179958,0.925209604,5356.666667,0,0,0,0,0,0,1,1,1,1,1,0
97.75269021,98.583504,98.82786128,97.17600311,61.71535477,0.972981842,1.021435407,5320,1,1,0,0,1,1,1,0,0,0,1,0
97.40081572,98.583504,98.7203431,97.25419939,55.14690561,1.093941078,1.100363433,5390,0,1,1,1,1,1,1,1,1,1,0,1
99.08199443,99.570709,100.2060321,98.83763715,76.70443048,1.025527683,0.993753346,5385,1,0,1,0,0,0,1,1,1,1,1,1
99.77597135,98.857185,100.1473915,98.60305146,52.59928584,1.082085503,1.028357824,5403.333333,0,1,1,1,1,1,0,0,0,0,0,0
98.143669,98.143669,98.49553667,97.38126739,30.27544796,0.896791964,0.903919434,5510,0,0,0,0,0,0,1,1,1,1,1,0
97.74291186,96.16925,97.85043004,95.10385617,20.22251931,0.9647135,0.985485945,5526.666667,0,1,0,0,1,1,1,0,0,0,0,0
96.58954747,96.843681,97.82111014,96.52112743,33.02407076,1.005582006,1.042849035,5674.166667,1,1,0,1,1,1,1,1,1,1,1,1
97.33239644,95.33844,97.76246038,95.2016009,4.597721325,1.02375751,1.022454545,5929.166667,0,1,1,1,1,1,1,1,1,1,1,0
95.1820446,96.403831,96.87300089,95.064758,26.04554794,0.962503524,0.945008304,6057.5,1,0,0,0,0,0,1,0,0,0,0,1
96.69706134,96.384285,97.65494577,96.11060583,25.6653698,0.908368343,0.926372672,6384.166667,0,0,0,0,0,0,1,1,1,1,1,0
95.88579251,97.752686,97.80155355,95.78805156,52.28135991,0.995778424,1.036417615,6560.833333,1,1,0,1,1,1,1,0,0,0,1,1
98.21209281,96.814369,98.35870133,96.70685081,34.03068924,1.078464674,1.088467765,6657.5,0,1,1,1,1,1,0,0,0,0,0,0
97.25420545,97.508339,97.66472376,96.79481275,47.52870529,1.081606218,1.034194938,6701.666667,1,1,1,1,1,1,0,1,1,1,0,1
97.63540005,98.87674,99.14064197,97.42036465,74.14469539,0.890544413,0.866623292,6661.666667,1,0,0,0,0,0,1,1,1,1,1,1
